hospital_name,location
Bhabha Hospital,"Bandra West, Mumbai 400050"
Centenary Municipal General Hospital,"Kandivali West, Mumbai 400067"
Dr. R. N. Cooper Medical College and General Hospital,"Juhu, Vile Parle West, Mumbai 400056"
Lilavati Hospital and Research Centre,"Bandra Reclamation, Bandra West, Mumbai 400050"
Rajawadi Hospital,"Ghatkopar East, Mumbai 400077"
S. V. D. Savarkar Municipal General Hospital,"Mulund East, Mumbai 400081"
V. N. Desai Municipal General Hospital,"Santacruz East, Mumbai 400055"
Bhagwati Hospital,"Borivali West, Mumbai"
Dr. Babasaheb Ambedkar Municipal General Hospital,"Kandivali, Mumbai"
BSES MG Hospital,"Andheri, Mumbai"
Godrej Memorial Hospital,"Vikhroli/Mulund area, Mumbai"
H. J. Doshi Ghatkopar Hindu Sabha Hospital,"Ghatkopar, Mumbai 400086"
Mallika Hospital,Mumbai Suburban
Millat Dialysis Center,Mumbai Suburban
Parakh Hospital,"Ghatkopar East, Mumbai 400077"
Prabodhan Charitable Dialysis Center,"Goregaon, Mumbai"
Riddhi Vinayak Critical Care and Cardiac Centre,"Malad, Mumbai"
SevenHills Healthcare Pvt. Ltd.,"Andheri East, Mumbai 400059"
Shivam Nursing Home,Mumbai Suburban
Shree Balaji Super Speciality Hospital,"Kandivali, Mumbai"
Shree Naminath Jain Foundation,"Borivali East, Mumbai"
Shree Naminath Jain Foundation,"Borivali West, Mumbai"
Shree Naminath Jain Foundation,"Malad East, Mumbai"
K. B. Bhabha Hospital,"Kurla West, Mumbai 400070"
Hindu Hruday Samrat Balasaheb Thackeray Trauma Care Municipal Hospital,"Jogeshwari East, Mumbai"
General Hospital Malvani,"Malvani, Mumbai"
M. T. Agarwal Hospital,"Mulund West, Mumbai"
Jagjivanram Railway Hospital,Mumbai Suburban
Kasturba Hospital for Infectious Diseases,Chinchpokli/Mumbai area
Shatabdi Hospital,"Govandi, Mumbai"
Rane Hospital Pvt. Ltd.,Mumbai Suburban
SRCC Children's Hospital – Managed by Narayana Health,"Haji Ali/Worli area, Mumbai"
Dr. Meena's Multispeciality Hospital,"Bhandup, Mumbai"
Nana Palkar Smruti Samiti,Mumbai Suburban
Nana Palkar Smruti Samiti Santacruz Dialysis Centre,"Santacruz, Mumbai"
Criticare Lifeline Hospital,Mumbai Suburban
HCG Cancer Centre,"Borivali West, Mumbai"
Fortis Hospital Mulund,"Mulund West, Mumbai 400078"
Apex Hospitals,"Borivali West, Mumbai"
Pooja Maternity and Nursing Home,"Ghatkopar, Mumbai"
Theji Hospital,"Bhandup West, Mumbai"
Panacea Right Care Right Here,"Andheri, Mumbai"
Kidney Care Centre,"Bhandup West, Mumbai"
Parisoha Foundation / Hindu Sabha Cardiac Setup,"Ghatkopar West, Mumbai"
Savla Hospital,"Chembur, Mumbai"
Kohinoor Hospital,"Kurla, Mumbai"
Ramakrishna Mission Hospital,"Khar West, Mumbai"
Lifeline Multispeciality Hospital,"Malad, Mumbai"
Samant Nursing Home,"Goregaon, Mumbai"
Padmashree Nursing Home,"Mulund, Mumbai"
Bakul Parekh Children's Hospital,"Ghatkopar East, Mumbai"
LifeLine Medicare Hospitals Pvt. Ltd.,"Goregaon East, Mumbai"
